card_number,price,title,rarity,store,set_name,condition,stock,available_variants,url
OP06-115,555.0,You're the One Who Should Disappear (Alternate Art) [Premium Booster -The Best- Vol. 2],Rare,Big Bang Shop,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R555.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/youre-the-one-who-should-disappear-alternate-art-premium-booster-the-best-vol-2
OP14-033,556.0,Perona (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R556.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/perona-alternate-art-the-azure-seas-seven
OP12-119,618.0,Bartholomew Kuma (Alternate Art) [Legacy of the Master],Secret Rare,Knightly Gaming,Legacy of the Master,Near Mint Foil,In stock,Near Mint Foil R618.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/bartholomew-kuma-alternate-art-legacy-of-the-master
OP13-108,639.0,Jewelry Bonney (Alternate Art) [Carrying On His Will],Super Rare,Knightly Gaming,Carrying On His Will,Near Mint Foil,In stock,Near Mint Foil R639.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/jewelry-bonney-alternate-art-carrying-on-his-will
OP02-001,659.0,Edward.Newgate (Special Goods Set -Former Four Emperors-) [One Piece Promotion Cards],Leader,Knightly Gaming,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R659.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/edward-newgate-special-goods-set-former-four-emperors-one-piece-promotion-cards
OP11-054,727.0,Nami (054) (Alternate Art) [A Fist of Divine Speed],Super Rare,Knightly Gaming,A Fist of Divine Speed,Near Mint Foil,In stock,Near Mint Foil R727.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/nami-054-alternate-art-a-fist-of-divine-speed
OP14-084,899.0,Ms. All Sunday (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R899.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/ms-all-sunday-alternate-art-the-azure-seas-seven
OP01-035,1090.0,Okiku (SP) [500 Years in the Future],Rare,Big Bang Shop,500 Years in the Future,Near Mint Foil,In stock,Near Mint Foil R1090.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/okiku-sp-500-years-in-the-future
OP03-114,1095.0,Charlotte Linlin (SP) [Wings of the Captain],Super Rare,Big Bang Shop,Wings of the Captain,Near Mint Foil,In stock,Near Mint Foil R1095.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/charlotte-linlin-sp-wings-of-the-captain
OP14-031,1299.0,Nami (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R1299.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/nami-alternate-art-the-azure-seas-seven
OP14-096,2107.0,Ground Death (Alternate Art) [The Azure Sea's Seven],Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R2107.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/ground-death-alternate-art-the-azure-seas-seven
OP01-017,3090.0,Nico Robin (English Version 1st Anniversary Set) [One Piece Promotion Cards],Rare,Big Bang Shop,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R3090.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/nico-robin-english-version-1st-anniversary-set-one-piece-promotion-cards
ST01-007,3485.0,Nami (TR),,Tanuki Trader,Wings of the Captain (OP06),,1 in stock,1 in stock,https://tanukitrader.co.za/product/nami-tr/
